model,arm,stratum,run_id,batch_size,batch_order,n,n_failed,n_text_readable,label_accuracy,strict_text_strengthening,strict_text_strengthening_ci_low,strict_text_strengthening_ci_high,strict_text_strengthening_seed_ci_low,strict_text_strengthening_seed_ci_high,broad_text_strengthening,broad_text_strengthening_ci_low,broad_text_strengthening_ci_high,broad_text_strengthening_seed_ci_low,broad_text_strengthening_seed_ci_high,bootstrap_ci_cluster_field,weak_strict_text_strengthening_90
qwen3.6-27b,grouped,weak_intent,full-20260912-024737-9035907c,16,grouped,180,0,180,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batch_id,0.0
qwen3.6-27b,grouped_4,weak_intent,full-20260912-024118-0cc89ccd,4,grouped,180,0,180,1.0,0.005555555555555556,0.0,0.016666666666666666,0.0,0.016666666666666666,0.005555555555555556,0.0,0.016666666666666666,0.0,0.016666666666666666,batch_id,0.005555555555555556
qwen3.6-27b,shuffled,weak_intent,full-20260912-025044-bf2b977a,16,shuffled,180,0,180,0.8055555555555556,0.3055555555555556,0.16110119047619048,0.4511049633315872,0.24430555555555555,0.37222222222222223,0.3055555555555556,0.16110119047619048,0.4511049633315872,0.24430555555555555,0.37222222222222223,batch_id,0.3055555555555556
qwen3.6-27b,shuffled_4,weak_intent,full-20260912-024426-f8dd082b,4,shuffled,180,0,180,0.8333333333333334,0.5722222222222222,0.47998830409356724,0.6632537459739533,0.5,0.6388888888888888,0.5722222222222222,0.47998830409356724,0.6632537459739533,0.5,0.6388888888888888,batch_id,0.5555555555555556
qwen3.8-27b,single,all,full-20260912-081534-09e59c8d,1,grouped,720,0,720,0.9819444444444444,0.25,0.21666666666666667,0.28055555555555556,0.25,0.25,0.25,0.21666666666666667,0.28055555555555556,0.25,0.25,item_id,
qwen3.8-27b,grouped,all,full-20260912-082615-2d984b23,16,grouped,720,0,688,1.0,0.06976744186046512,0.03571428571428571,0.10465116279069768,0.0528515037593985,0.08626999484004126,0.06976744186046512,0.03571428571428571,0.10465116279069768,0.0528515037593985,0.08626999484004126,batch_id,
qwen3.8-27b,grouped_4,all,full-20260912-081950-af65bd13,4,grouped,720,0,716,1.0,0.06005586592178771,0.044444444444444446,0.07501047486033519,0.044444444444444446,0.07501047486033519,0.06005586592178771,0.044444444444444446,0.07501047486033519,0.044444444444444446,0.07501047486033519,batch_id,
qwen3.8-27b,shuffled,all,full-20260912-082912-b6711e74,16,shuffled,720,0,656,0.9833333333333333,0.2073170731707317,0.16092588682432435,0.2500363372093023,0.19090909090909092,0.22428286052509194,0.2073170731707317,0.16092588682432435,0.2500363372093023,0.19090909090909092,0.22428286052509194,batch_id,
qwen3.8-27b,shuffled_4,all,full-20260912-082303-710cb591,4,shuffled,720,0,712,0.9861111111111112,0.23876404494382023,0.20971090823970037,0.2696629213483146,0.23065830543271326,0.24581005586592178,0.2443820224719101,0.21164224837662338,0.27668539325842695,0.235869416644876,0.2524682651622003,batch_id,
qwen3.8-27b,single,weak_intent,full-20260912-081534-09e59c8d,1,grouped,180,0,180,0.9277777777777778,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,item_id,1.0
qwen3.8-27b,grouped,weak_intent,full-20260912-082615-2d984b23,16,grouped,180,0,172,1.0,0.27906976744186046,0.14285714285714285,0.4186046511627907,0.211406015037594,0.34507997936016505,0.27906976744186046,0.14285714285714285,0.4186046511627907,0.211406015037594,0.34507997936016505,batch_id,0.27906976744186046
qwen3.8-27b,grouped_4,weak_intent,full-20260912-081950-af65bd13,4,grouped,180,0,179,1.0,0.24022346368715083,0.17777777777777778,0.30004189944134074,0.17777777777777778,0.30004189944134074,0.24022346368715083,0.17777777777777778,0.30004189944134074,0.17777777777777778,0.30004189944134074,batch_id,0.24022346368715083
qwen3.8-27b,shuffled,weak_intent,full-20260912-082912-b6711e74,16,shuffled,180,0,164,0.9333333333333333,0.8292682926829268,0.7032127288578902,0.9292959001782531,0.7682817944250872,0.8848484848484849,0.8292682926829268,0.7032127288578902,0.9292959001782531,0.7682817944250872,0.8848484848484849,batch_id,0.6585365853658537
qwen3.8-27b,shuffled_4,weak_intent,full-20260912-082303-710cb591,4,shuffled,180,0,177,0.9444444444444444,0.96045197740113,0.9281328908448164,0.9846969696969696,0.9310144346431435,0.9886363636363636,0.9661016949152542,0.937482040229885,0.9891920797803151,0.9378531073446328,0.9887640449438202,batch_id,0.6440677966101694
